HPMSVtypeID,yearID,VMTGrowthFactor,HPMSBaseYearVMT
10,1990,0,11403872436
10,1999,0,13619301826
10,2000,0,12175484992
10,2001,0,11120467348
10,2002,0,11170812900
10,2003,0,11383690765
10,2004,0,14975235759
10,2005,0,13772997004
10,2006,0,19156824583
10,2007,0,21396183704
10,2008,0,20810707047
10,2009,0,20822042300
10,2010,0,18512901976
10,2011,0,18542233515
10,2012,0,21385314178
10,2013,0,20366179720
10,2014,0,19969667470
10,2015,0,19606314746
10,2016,0,20445304947
10,2017,0,20149299734
10,2018,0,20076176607
10,2019,0,19688045034
10,2020,0,17947467947
10,2021,0,19641861056
10,2022,0,23764862512
10,2023,0,24242411093
10,2024,0,24414730998
10,2025,0,24508884150
10,2026,0,24687708466
10,2027,0,24922028505
10,2028,0,25138459196
10,2029,0,25309025462
10,2030,0,25439366470
10,2031,0,25550549970
10,2032,0,25647280390
10,2033,0,25782818688
10,2034,0,25953483248
10,2035,0,26110795082
10,2036,0,26240182853
10,2037,0,26389752394
10,2038,0,26557943605
10,2039,0,26726720822
10,2040,0,26919638184
10,2041,0,27118075197
10,2042,0,27323945372
10,2043,0,27523612135
10,2044,0,27729215464
10,2045,0,27946897824
10,2046,0,28199584321
10,2047,0,28470836712
10,2048,0,28749119438
10,2049,0,29030795211
10,2050,0,29340725299
10,2051,0,29653964173
10,2052,0,29970547156
10,2053,0,30290509949
10,2054,0,30613888636
10,2055,0,30940719684
10,2056,0,31271039950
10,2057,0,31604886684
10,2058,0,31942297536
10,2059,0,32283310554
10,2060,0,32627964196
25,1990,0,1943194436354
25,1999,0,2401407874171
25,2000,0,2458220784953
25,2001,0,2499068565389
25,2002,0,2555467766325
25,2003,0,2579194684917
25,2004,0,2652091589138
25,2005,0,2677640994061
25,2006,0,2680537324880
25,2007,0,2691034205111
25,2008,0,2630213434125
25,2009,0,2633247713216
25,2010,0,2648456317230
25,2011,0,2650457904973
25,2012,0,2664059667241
25,2013,0,2677729881189
25,2014,0,2710555570631
25,2015,0,2779692921691
25,2016,0,2849718219559
25,2017,0,2877378062436
25,2018,0,2897082850175
25,2019,0,2924053220366
25,2020,0,2572988371051
25,2021,0,2768998819163
25,2022,0,2822663943466
25,2023,0,2879384623457
25,2024,0,2899851865024
25,2025,0,2911034875588
25,2026,0,2932274676518
25,2027,0,2960105964142
25,2028,0,2985812450224
25,2029,0,3006071403976
25,2030,0,3021552615525
25,2031,0,3034758400113
25,2032,0,3046247524853
25,2033,0,3062346042750
25,2034,0,3082616671384
25,2035,0,3101301334058
25,2036,0,3116669325230
25,2037,0,3134434399594
25,2038,0,3154411256861
25,2039,0,3174457716851
25,2040,0,3197371414771
25,2041,0,3220940707627
25,2042,0,3245392871806
25,2043,0,3269108227650
25,2044,0,3293528697253
25,2045,0,3319383850005
25,2046,0,3349396607815
25,2047,0,3381614523851
25,2048,0,3414667465567
25,2049,0,3448123415403
25,2050,0,3484935262541
25,2051,0,3522140109560
25,2052,0,3559742152089
25,2053,0,3597745630552
25,2054,0,3636154830641
25,2055,0,3674974083803
25,2056,0,3714207767726
25,2057,0,3753860306836
25,2058,0,3793936172792
25,2059,0,3834439884991
25,2060,0,3875376011081
40,1990,0,10279219143
40,1999,0,14852963122
40,2000,0,14805478853
40,2001,0,12981755236
40,2002,0,13335842152
40,2003,0,13381143542
40,2004,0,13523332768
40,2005,0,13153072524
40,2006,0,14038272534
40,2007,0,14515681427
40,2008,0,14823457500
40,2009,0,14387471231
40,2010,0,13769530423
40,2011,0,13807345278
40,2012,0,14781002956
40,2013,0,15166915500
40,2014,0,15998904217
40,2015,0,16229868135
40,2016,0,16349513308
40,2017,0,17227368362
40,2018,0,18303400488
40,2019,0,17979988907
40,2020,0,15036712426
40,2021,0,16744486774
40,2022,0,18490164443
40,2023,0,18419258685
40,2024,0,18444297760
40,2025,0,18609856156
40,2026,0,18863254217
40,2027,0,19085374828
40,2028,0,19289833135
40,2029,0,19447284181
40,2030,0,19592706150
40,2031,0,19765530820
40,2032,0,19995450320
40,2033,0,20189314748
40,2034,0,20378188430
40,2035,0,20580032195
40,2036,0,20755102471
40,2037,0,20958009282
40,2038,0,21156386690
40,2039,0,21353424750
40,2040,0,21570302321
40,2041,0,21800026900
40,2042,0,22025527090
40,2043,0,22237679934
40,2044,0,22434351643
40,2045,0,22618359606
40,2046,0,22831114498
40,2047,0,23050068081
40,2048,0,23239890005
40,2049,0,23444608991
40,2050,0,23723606711
40,2051,0,24005924585
40,2052,0,24291602125
40,2053,0,24580679311
40,2054,0,24873196601
40,2055,0,25169194932
40,2056,0,25468715730
40,2057,0,25771800913
40,2058,0,26078492898
40,2059,0,26388834609
40,2060,0,26702869476
50,1990,0,70860607785
50,1999,0,100533677107
50,2000,0,100485617663
50,2001,0,103469819870
50,2002,0,107316817331
50,2003,0,112722665702
50,2004,0,111237709720
50,2005,0,109735095024
50,2006,0,123317582531
50,2007,0,119978838378
50,2008,0,126854677142
50,2009,0,120206756913
50,2010,0,110738245206
50,2011,0,103803030273
50,2012,0,105605222597
50,2013,0,106581578905
50,2014,0,109301406197
50,2015,0,109597318450
50,2016,0,113337941633
50,2017,0,116102399109
50,2018,0,120698994215
50,2019,0,124745707181
50,2020,0,117832173934
50,2021,0,131637174902
50,2022,0,136223786866
50,2023,0,135421388300
50,2024,0,135629518282
50,2025,0,137075920964
50,2026,0,139280074981
50,2027,0,141298100126
50,2028,0,143320183376
50,2029,0,145233012235
50,2030,0,147356570326
50,2031,0,149897321522
50,2032,0,153000975414
50,2033,0,155825373318
50,2034,0,158629885097
50,2035,0,161538132285
50,2036,0,164237428569
50,2037,0,167168739415
50,2038,0,170025068349
50,2039,0,172972037371
50,2040,0,176128411230
50,2041,0,179425798642
50,2042,0,182660269267
50,2043,0,185817714773
50,2044,0,188907439279
50,2045,0,192009073218
50,2046,0,195477840204
50,2047,0,199076459440
50,2048,0,202440813655
50,2049,0,205987715824
50,2050,0,210227704543
50,2051,0,214554967905
50,2052,0,218971302344
50,2053,0,223478541273
50,2054,0,228078555842
50,2055,0,232773255717
50,2056,0,237564589872
50,2057,0,242454547397
50,2058,0,247445158326
50,2059,0,252538494477
50,2060,0,257736670317
60,1990,0,108623864283
60,1999,0,160921183774
60,2000,0,161237633539
60,2001,0,168969392157
60,2002,0,168216761292
60,2003,0,173538815074
60,2004,0,172960132615
60,2005,0,175127841386
60,2006,0,177320995472
60,2007,0,184199091380
60,2008,0,183825724186
60,2009,0,168099534339
60,2010,0,175788971737
60,2011,0,163791293119
60,2012,0,163601731106
60,2013,0,168435634141
60,2014,0,169830178385
60,2015,0,170246278000
60,2016,0,174556978274
60,2017,0,181490181698
60,2018,0,184165121151
60,2019,0,175304701353
60,2020,0,179816800923
60,2021,0,195389157346
60,2022,0,195048639383
60,2023,0,194589231428
60,2024,0,194828982600
60,2025,0,196341825440
60,2026,0,198667287208
60,2027,0,200617153601
60,2028,0,202242423756
60,2029,0,203127519807
60,2030,0,203577230111
60,2031,0,204094122796
60,2032,0,205066687319
60,2033,0,205672956125
60,2034,0,206209180557
60,2035,0,206873793629
60,2036,0,207268037291
60,2037,0,207928167231
60,2038,0,208583400420
60,2039,0,209120928221
60,2040,0,209802567399
60,2041,0,210571945934
60,2042,0,211329527467
60,2043,0,211924350379
60,2044,0,212308117078
60,2045,0,212449875931
60,2046,0,212734791816
60,2047,0,212998341198
60,2048,0,212974828459
60,2049,0,213033442567
60,2050,0,213725304494
60,2051,0,214419413359
60,2052,0,215115776460
60,2053,0,215814401117
60,2054,0,216515294674
60,2055,0,217218464502
60,2056,0,217923917992
60,2057,0,218631662560
60,2058,0,219341705648
60,2059,0,220054054721
60,2060,0,220768717267
